device_id,date,value_type_id,value
5,4,4,0.9203613910882588
0,8,7,-4.967377912883283
2,5,0,12.212159703103731
5,1,6,-11.261776429364636
4,10,7,3.042391842187809
10,2,10,-15.987328956267405
2,10,9,-5.467241896788396
0,8,8,-7.845570929899475
5,8,0,20.65530236924779
6,10,10,-4.128386802204925
5,3,1,8.136838280016297
3,0,3,-5.973701570413294
4,9,10,-7.781362457879929
8,7,0,21.93631994023644
5,6,5,1.6250047039840922
1,6,7,-8.220046579402485
2,7,8,-8.070982350164833
2,4,1,7.044696490205056
4,2,8,-15.834812935140606
4,5,3,4.784554180983056
5,2,8,-15.266326235469363
10,0,6,-8.022725203661556
4,0,10,-26.026976185380903
9,0,5,-6.12111306124096
8,3,8,-10.11368400036225
6,10,7,4.929551532638483
1,4,2,2.7373600398047966
3,0,5,-11.680507577768287
8,2,3,2.873823983175381
8,1,5,-4.921771660602408
3,3,8,-15.083658963200337
4,6,0,16.01623970036204
4,4,0,11.990209934110723
10,10,1,27.166300998147005
9,6,3,11.963572872911294
9,0,10,-21.090338574534123
2,3,5,-7.4036432554818665
2,2,1,3.0346183390609887
3,7,0,17.11893359114793
5,3,8,-12.907164188755724
1,2,6,-13.251681232297997
5,4,9,-13.977801068121197
8,1,1,7.042128307923404
6,3,3,2.539940533064711
1,10,1,18.08083542903352
6,3,2,5.694223067384074
4,10,4,11.713393061252777
1,5,8,-13.035480295128341
6,8,6,4.301583966145331
7,10,2,20.952433349101085
2,0,3,-6.9197177168406885
6,0,3,-3.049786463739286
6,9,0,23.906351330402156
7,1,9,-17.992874885858505
7,9,6,6.7415323882672915
4,2,9,-19.002228897508633
8,5,9,-9.032888127371505
10,10,9,2.875546896276073
5,4,7,-8.123010340395101
8,4,10,-14.054982394787922
1,5,7,-9.957292235373789
9,5,2,12.95367188629296
3,8,4,6.882517533568359
5,3,3,1.916149157787213
3,0,8,-20.972340133754113
10,10,3,20.789047375582417
4,3,2,3.889351799406173
3,1,10,-24.744593088619993
2,7,4,3.8773776008638854
4,8,1,17.275759601950877
5,2,7,-12.322978574641901
6,9,6,5.732364710552423
0,5,4,-1.945179220573678
5,8,7,0.1694067531222347
8,0,7,-12.896045215182907
10,4,6,-0.03366812195956665
4,2,6,-9.587264428750268
0,1,10,-28.43323481875046
2,4,0,9.951086916612878
1,9,7,-2.0976236256766283
2,4,9,-17.12533296224625
2,1,1,0.6802856066870879
0,5,4,-2.4422743789239316
4,4,2,5.7406403467067895
6,6,6,0.09870876230706233
0,0,4,-11.899536083378571
9,2,3,4.1259952041546555
6,4,8,-10.346151019201365
9,7,1,20.14374834489959
5,6,10,-12.797240858554666
0,10,2,13.632473724958876
5,6,2,10.85539087720764
7,9,8,0.9184882037516802
0,4,0,7.90803680315044
9,3,7,-6.193454413329956
5,7,9,-8.236627916652589
9,5,8,-4.7004776527546674
3,6,0,14.851009148900369
3,3,3,-0.25171221858349163
0,4,8,-16.27442111968655
5,5,9,-11.975462030643655
10,3,10,-13.852611434433399
1,6,10,-16.99548827235563
3,6,0,15.028114322972328
9,5,6,0.9133212788995043
10,4,6,-0.36366173085128517
6,4,8,-9.810840881795244
3,1,7,-16.119901943695712
10,2,1,10.99535175467131
9,2,7,-7.662668230661704
3,3,0,8.941750709630465
0,2,9,-22.93139480727755
6,7,10,-9.64655382509843
6,9,3,15.409694512007702
5,3,7,-9.833505479324947
3,7,9,-9.96647897670619
7,4,5,0.08249395608829613
4,5,4,1.61895449043317
10,7,6,5.7736229491516475
7,0,1,3.7288218529438577
9,10,1,26.36001279085895
8,2,3,2.99329688765341
6,10,5,11.271422246347578
10,3,5,0.9665381232336813
4,1,4,-5.837434204149233
9,8,4,12.57640693282447
0,4,10,-22.473869897793534
5,0,0,4.9574276045995935
6,2,5,-4.976533115219368
8,7,8,-1.8821735194793354
0,8,7,-5.256885131448922
1,4,8,-14.996139146727934
8,2,1,9.201939135876216
8,6,9,-6.984122797617103
3,9,4,8.82527898405701
4,5,2,7.597600617476426
2,7,6,-1.7995686987711639
2,10,0,21.792202527549936
2,8,5,2.9235439958404377
10,10,3,21.151743922406602
1,5,1,8.333928053643788
5,7,10,-11.039123461152593
7,7,4,9.221170441177222
5,4,5,-2.112472369510647
4,8,10,-10.191965112904038
9,7,4,11.086281322319655
3,8,4,7.076669856432082
0,8,5,0.923702541474376
1,6,7,-8.09557114820792
10,8,1,23.167696821501586
5,8,3,11.956286897037739
8,8,10,-5.833121655639181
9,10,5,13.779323890582507
3,3,0,9.086342043065542
10,8,1,23.134928314199783
8,8,8,0.23234289575920558
0,9,10,-11.765877562030724
5,7,5,3.953127486638564
0,7,1,10.76815267132727
3,0,0,2.714922893743648
10,5,0,19.974707589670377
8,10,4,15.925327202119307
10,1,1,8.42722668166923
5,9,8,-1.2076092997513046
0,1,4,-10.024016263925754
10,5,4,8.127457240263096
6,10,2,19.932809363237553
3,2,0,6.90367866982367
0,10,4,8.238441387030116
5,3,3,2.4630345485336687
3,3,9,-17.94004922050275
4,1,8,-18.258698543226377
9,7,4,10.950163574373288
9,4,3,8.345221560905117
9,2,10,-16.691171001459132
3,7,5,2.204852493161231
5,5,6,-3.0644534390944838
10,1,7,-8.920967993523869
10,9,6,9.588835647289477
3,2,8,-17.306971135148324
6,0,2,0.14974614490532642
4,6,1,12.910595529132731
8,4,9,-10.805234905136826
2,2,7,-15.280322836274488
3,2,4,-4.748714455228181
6,1,3,-1.06168173328525
3,9,6,2.8833585055206323
5,8,8,-3.3784207814892158
8,10,4,16.065512152052342
10,0,4,-1.8755161403645058
2,5,1,9.117090248089747
1,6,8,-10.912535909700406
5,1,9,-19.831696251995332
6,0,10,-24.16487112947995
2,1,8,-19.835948902460988
4,9,4,9.923552482643847
3,0,3,-5.691455578228151
9,4,0,16.981964502632483
1,3,10,-22.767268047180444
7,3,2,7.285553611777132
3,4,4,-1.0306045826267969
5,3,4,-0.8816332231899902
4,0,6,-13.481762932909872
8,5,3,9.072064942464158
2,3,1,4.6118052477885225
4,7,4,5.898065994873953
2,0,10,-28.169208403837157
2,7,4,3.7488405882033478
8,1,9,-16.78666509861386
9,3,5,-0.4422013442071633
7,7,3,12.00111511627565
0,2,4,-7.709230208364704
4,8,5,4.844875250972443
9,1,1,8.016895455731138
5,8,7,-0.40929782437756224
1,1,0,2.8256689375008595
7,6,0,19.018818982577717
0,4,1,4.803214407801766
4,9,0,21.76812273216351
4,6,1,13.117221512979604
8,7,6,4.185062543970334
3,3,3,-0.046380654018888655
0,9,2,12.158321136427421
2,2,10,-23.647687452164934
1,0,7,-20.316658158976626
2,10,1,18.82471057999536
2,2,4,-5.891686533875255
1,2,8,-19.184232130842418
9,9,0,26.9034584746792
2,5,6,-6.122465945631851
4,8,0,20.03716314395296
10,10,10,0.006657504809670417
3,4,2,5.026291771953568
4,0,9,-23.210528594415692
6,3,2,5.878082792725774
3,1,6,-12.96978738594904
2,6,10,-15.862835336465265
6,0,6,-12.077265215234942
2,6,9,-13.0119635111383
9,10,9,1.775158727084133
0,9,0,18.2855013895311
8,1,4,-1.8294857245275193
6,5,4,4.281174985421129
9,7,10,-7.219614399513631
5,6,4,5.104455386584997
8,5,9,-9.195654568763954
10,2,2,7.892183185104156
7,4,10,-14.965219447042637
1,6,1,9.814718486097789
5,10,5,10.330623631055847
0,5,8,-13.697947868093143
8,8,5,8.502993272706313
2,0,8,-21.944993774406793
6,5,0,15.870516534416597
5,4,2,7.00323613308479
2,7,3,6.63275021933974
3,8,10,-10.565174169398995
2,6,5,-0.9374688732173219
7,4,0,15.117035455915396
6,9,10,-6.017905471698168
0,8,6,-1.9242272879757143
4,9,10,-8.297508014933694
6,4,6,-3.7294002303000804
8,4,6,-2.045662498740591
10,6,9,-4.974223369395981
0,4,2,1.9668468958316452
6,9,6,6.0264393146105775
2,3,0,8.218956182198308
0,6,1,9.002783297134087
1,10,0,21.049460207098047
4,4,3,3.0229461290114266
4,3,6,-7.832144198279299
10,9,6,9.91579736270467
4,3,0,10.116011872919783
9,4,3,7.938658527187998
4,4,7,-9.14547851001302
9,7,3,14.206250119924748
2,9,4,7.563028619179026
10,9,0,28.0833523704402
5,5,10,-14.908196391987314
8,10,0,28.146517812407883
10,9,4,15.739475990009499
0,1,9,-24.992225954968834
0,7,6,-3.8772246124582046
0,2,3,-5.1594814168716345
6,0,10,-24.030682767430907
6,7,1,16.983150768373527
2,6,4,2.1682105983828293
3,1,8,-18.53197451099927
7,0,9,-19.601947442221437
0,10,6,1.8722831924295227
8,3,6,-4.156017578812332
5,1,3,-1.8385574739296568
4,7,1,15.164642460841996
9,2,3,3.9717260340344143
5,2,9,-18.34801679419696
2,1,9,-22.901208214301455
8,0,9,-18.887534307793068
2,3,5,-6.884248114774833
5,4,8,-11.184659205959788
6,7,9,-6.842870115315525
0,3,0,5.824463493772743
0,4,6,-9.933526118446805
10,6,7,1.277764544157344
4,7,6,0.3573310859468527
0,9,7,-3.025669692185844
0,3,6,-11.855981183224795
2,0,5,-13.299330511542703
0,7,7,-7.034555891335199
0,7,5,-1.0645881861558262
9,4,8,-6.863241259036782
4,1,10,-23.829706406621163
4,8,6,2.2215769646758003
1,9,1,15.953221977179743
7,1,2,3.127176137695661
4,2,3,-1.0980139629179277
3,4,0,10.94717599849517
9,7,6,5.246865802842827
0,0,3,-9.102568539180963
7,4,10,-14.919759146935515
8,0,1,4.982402655299595
5,0,0,5.216750986493185
4,1,1,2.7991009106487827
5,0,1,2.2787244479291178
4,2,1,4.87004719937086
0,9,4,5.9104368924380655
7,5,4,5.5460511153271606
3,6,6,-3.0531478257413234
7,5,2,11.062004693365836
2,0,0,2.2856698196248346
7,1,1,5.934448150056431
4,6,3,6.467567428315024
3,5,10,-17.106078991010023
4,9,8,-2.068465163243577
3,5,0,12.835318782391074
2,8,5,3.019841412402053
5,8,0,20.98097578237727
8,3,7,-7.165184617423519
0,4,0,8.092305238546569
9,3,9,-12.456596102570725
10,5,6,2.3296966886363304
2,5,8,-12.380272714692367
3,4,5,-4.151624521493815
0,7,10,-16.172042914587156
9,0,7,-12.249029675968618
9,0,10,-20.73470405801855
10,1,1,8.82948677080796
0,4,7,-13.276211520705521
2,5,3,3.180036229526977
10,5,9,-7.0113176241581785
6,2,0,9.72827933697714
5,2,9,-18.020406609755916
0,9,4,5.8423644058206685
1,0,8,-23.209366134848022
9,5,0,19.013275731796796
0,3,5,-9.058231104629826
6,5,1,13.238432042870537
0,4,7,-12.93840855025316
3,1,1,2.072452625863413
8,3,0,14.320429833912204
9,3,10,-14.749670748944915
8,6,6,2.2268033472357947
0,2,2,-2.066023110575786
2,7,4,3.604201277512394
9,4,7,-4.227338518986376
6,8,9,-5.098792123799029
8,2,3,3.151985708418553
9,1,4,-0.9313800965321452
3,8,8,-5.128819936914038
10,2,5,-1.4223046689463137
8,8,1,20.991735406280714
9,0,10,-20.95848697491981
1,0,1,-2.318433006711989
10,5,8,-4.3572260429286835
9,4,2,11.308306021495818
8,4,1,13.393738812371279
4,10,8,0.2401506808075593
2,7,3,7.117377882697145
8,4,5,1.1214838080351444
1,5,2,4.965063004653975
4,1,7,-15.122876335231988
8,0,1,5.018947247762168
3,3,3,-0.3429908815158424
4,0,0,3.806182145796239
7,5,1,13.769408564917486
7,3,3,3.894498178843976
9,8,7,4.0372427482092075
3,9,6,3.0823841972928263
10,0,4,-2.3380627467977235
6,4,3,4.79694626153664
6,6,6,-0.26670044692087846
5,6,4,4.887375470279369
4,2,8,-16.11209996422639
0,10,8,-3.6817677202563504
4,2,0,8.011937270857178
5,7,3,10.333034419458013
8,1,0,9.776582121810954
0,0,6,-18.232149152122812
1,4,0,8.967384391186647
8,8,3,15.187084916628075
0,4,9,-19.155127509667714
2,9,4,7.756655726830422
2,3,0,8.119366819239351
7,6,8,-5.012434663540918
7,1,5,-6.086982437798358
10,1,7,-9.170809359746706
1,1,3,-6.297877399778909
1,6,6,-5.144126147861087
4,1,4,-5.897708150106759
5,4,9,-14.339938377731638
6,1,5,-7.168433180525515
3,0,1,0.32306444533025047
7,8,4,11.101051941726952
6,5,0,16.107012011621396
7,7,7,0.12185752095567991
3,6,4,3.336037945204657
6,7,6,2.0337111799475354
10,5,3,11.240364835856992
8,7,2,16.23454778874573
4,0,5,-10.888324557721425
4,0,0,4.056027909563077
7,3,9,-14.239611232725785
3,3,10,-21.005510208797606
1,5,6,-7.022168462874124
9,8,6,7.119625782641497
4,3,3,1.0385425293831998
6,1,8,-16.079008870014246
1,5,4,-1.0554425881475769
2,8,3,8.569094260774516
5,4,0,12.988921168527
3,7,5,1.780248924352942
0,2,8,-20.15991964632907
9,9,8,3.4606644507846247
4,6,1,12.991302775610336
2,5,2,6.157313281335997
7,4,4,2.802482962696505
9,9,0,26.98368181333804
4,6,2,10.051870110930594
4,7,8,-5.976380748301637
6,7,8,-4.074638212058141
3,3,9,-17.767901926115623
1,2,7,-16.086256815961498
3,7,10,-13.111973630782055
3,9,4,8.751106891982204
1,2,7,-15.950271757075194
8,7,4,9.988576007438544
2,6,5,-0.8386512174152034
6,0,6,-12.107408177656515
3,0,5,-12.44072700801096
4,4,4,-0.009395482689392125
1,1,4,-9.006836645064997
0,4,1,5.25895187921385
10,9,3,19.07378323597863
6,2,10,-19.846515282741862
7,5,4,4.8863328101617585
9,6,4,8.921388444428347
10,1,3,2.8421225351374177
7,5,1,14.21679841211896
5,8,1,17.840049949386515
1,0,0,1.131235823081595
8,3,9,-12.849045517910938
10,9,10,-2.0598893814895494
10,7,8,-0.11216544561959381
5,4,8,-11.240298001750503
0,5,7,-10.78687145021741
1,5,8,-12.77711305800009
0,3,1,3.188792986122533
3,1,4,-6.831927052357573
8,10,2,22.110313756627725
1,6,6,-4.83531554403098
10,9,9,1.132049318833413
9,3,1,11.783312336804412
10,10,10,0.16851916654109345
8,9,1,22.88029660295646
4,3,8,-13.994575001327144
3,4,5,-3.763471390152131
2,8,3,9.024635502145944
8,3,2,8.114450404345945
10,10,4,18.015303092972133
10,5,9,-7.3743794458451895
8,7,3,12.731624118493583
7,2,8,-12.998726082605286
3,1,5,-10.016953416223418
10,8,10,-4.020932348773155
5,6,0,16.955992398672073
9,3,4,2.86955905306803
7,3,9,-13.558185173805624
2,4,1,6.847675156008494
1,0,6,-16.95968658168217
10,6,0,21.691053206992816
5,7,0,18.82392819900481
10,9,9,0.8384142283199456
9,6,8,-3.004831719812652
1,7,2,8.81393969535041
4,7,5,3.0678571269109263
9,8,3,15.816673495214845
3,5,0,12.60016799594158
0,5,1,7.205389841526287
2,7,2,10.37797079155991
0,7,7,-7.143885202207892
2,1,10,-26.071808630874106
8,9,0,26.06914017332895
3,7,8,-7.177288526977961
2,1,9,-22.85558544941653
7,1,9,-17.771181514767246
1,9,9,-7.827863001774869
6,10,8,2.3355032216990397
7,4,1,12.237749575000448
4,4,3,2.532763587727177
8,0,0,7.786815755590388
10,7,9,-2.720749613256423
10,7,2,18.220849651354076
6,2,0,10.00533205645513
8,10,8,3.888466566688649
4,6,5,0.9309379532050028
1,0,7,-19.94064197570516
6,1,0,7.916650126033424
6,2,7,-11.259169633022541
0,7,2,7.688862128507766
3,7,10,-13.077530211660116
0,9,3,9.273281883021674
4,5,4,1.7934407048232153
3,4,9,-16.072713468750248
6,10,1,22.932883496306776
5,0,0,5.439667096460126
6,3,8,-11.943269448906884
5,0,8,-18.86643260937391
2,7,7,-4.802218615786258
0,7,9,-13.006279957792472
0,2,9,-23.13569837233472
4,3,7,-11.198931870373425
4,2,4,-3.934904846678588
3,0,7,-17.829310686019774
10,4,7,-2.8678894465940514
1,10,8,-2.9434204486306066
9,7,1,19.66557150607461
1,2,8,-18.894586261002086
6,10,3,16.7519847509592
1,1,3,-6.281825109765308
9,4,3,7.928426619443884
0,5,4,-2.3774821388752354
0,1,7,-18.87050005346706
10,4,10,-11.960111008517991
1,5,4,-0.7984381433373793
9,10,8,4.746562685448768
6,6,10,-11.836521382721287
0,9,10,-12.09533771547869
8,7,7,0.7152166984132178
3,3,9,-18.342029994927163
4,4,5,-2.7787116785991706
7,2,6,-6.88739306039816
8,0,10,-21.49342837624736
7,1,0,8.319084494480673
8,7,3,12.862254574698234
3,6,10,-14.731894031334319
